,사업장명,주소,위도,경도
207,톤온펫,서울 중구 퇴계로 39 영창상가 3층 50호,37.55797078,126.9769357
208,쿠나이앤티,서울 종로구 평창4길 78 1층,37.61383224,126.9645417
209,견생냥품24시 삼청동점,서울 종로구 삼청로 131 2층,37.58709129,126.9814935
210,에스케이펫,서울 동작구 대방동15가길 20-3,37.50361689,126.9239278
211,다줄,서울 용산구 서빙고로 17 용산센트럴파크해링턴스퀘어 2층 98호,37.52690561,126.9665662
212,멍멍대학,서울 강서구 마곡서로 133 712동 1층 104호,37.5645561,126.8238387
213,비엔에스통상,서울 중구 퇴계로 39,37.55797078,126.9769357
214,리케이 본사,서울 구로구 경서로 81 리케이빌딩 3층,37.5041326,126.8606567
215,오파프,서울 용산구 한강대로 211,37.53718336,126.9726003
216,콩이오빠동물약국,서울 구로구 경인로47길 126 1층,37.50420906,126.8634825
217,독바위펫 연신초교점,서울 은평구 연서로37길 40-1,37.62480293,126.927638
218,애견용품도소매,서울 구로구 구로동로 235,37.49951814,126.8822209
219,골든스푼,서울 영등포구 신풍로 86,37.49982204,126.9155847
220,얌 펫푸드스튜디오,서울 양천구 중앙로29길 120-13 상가동 103호,37.52200713,126.8479968
221,도기랑냥이랑 신대방점,서울 동작구 상도로 49,37.5000375,126.926256
222,메이드바이핸드,서울 동작구 노량진1동 215-30,37.5000375,126.926256
223,바비펫샵,경기 고양시 덕양구 서정마을로 5 행신프라자 105호,37.61836921,126.846945
224,펫탑,서울 용산구 후암로4길 7,37.54681818,126.9786111
225,개구쟁이,서울 동작구 매봉로 169,37.51193129,126.9516859
226,멋지고이쁜개,서울 강서구 금낭화로 30,37.56799067,126.8119097
227,펫네이처,서울 중구 삼일대로 343 16층,37.56510046,126.9869596
228,개밥하우스 공항점,서울 강서구 공항대로 49-2 1층,37.56142953,126.8130396
229,장승애견,서울 동작구 상도로 171,37.50446239,126.9379482
230,트윈펫,경기 고양시 덕양구 충경로 135,37.61592849,126.8440981
231,꼬리치는강아지 상도점,서울 동작구 성대로 23,37.49963784,126.9329462
232,개밥,서울 용산구 소월로20길 30-1 1층,37.54521073,126.9852057
233,냥이용품아트호텔,서울 영등포구 신길로 70,37.49868392,126.9086036
234,아남실업,서울 양천구 남부순환로 552 4층,37.51930587,126.8380544
235,개밥파는고양이 마곡점,서울 강서구 공항대로 103 마곡엠벨리9단지아파트 907동 상가 1층,37.56230034,126.8191692
236,그냥가개,경기 고양시 덕양구 도래울2로 9-1 1층 102-1호,37.63013224,126.8704374
237,견생냥품 무인 24시 삼청동점,서울 종로구 삼청로 131 2층,37.58709129,126.9814935
238,공개수배,서울 양천구 남부순환로83길 47,37.51884602,126.8445769
239,씨유펫 고양도내점,경기 고양시 덕양구 도래울3로 24 102호,37.63032674,126.8721456
240,꼬리치는강아지,"서울 동작구 상도로 250 1층,지하1층",37.50460556,126.9462251
241,주주스토리,서울 양천구 남부순환로 585 유림웰스빌 103호,37.51679688,126.8399327
242,위글도기,서울 동작구 상도로 258-1,37.5040226,126.9465895
243,어센틱어카운트,서울 용산구 신흥로20길 20-3 1층,37.54665658,126.9846494
244,제이드펫,서울 구로구 경서로 81 현대빌딩 5층,37.5041326,126.8606567
245,딕시 고양지점,경기 고양시 덕양구 도래울2로 9-1 1층 102-1호,37.63013224,126.8704374
246,봄애완용품,경기 고양시 덕양구 충장로 2,37.61313477,126.8344814
247,지니펫,서울 양천구 지양로11길 13 1층,37.5216464,126.8320543
248,멍멍펀치,서울 동작구 노량진로32길 156,37.50939598,126.9544859
249,정군개사랑,서울 구로구 고척동 52-58,37.50219751,126.8641326
250,콜리올리 롯데마트 은평점,서울 은평구 통일로 1050,37.63753667,126.9179003
251,감성그루밍,서울 마포구 백범로15길 11 1층,37.54796407,126.9430338
252,라니펫,서울 서대문구 남가좌동 277-2,37.59252333,126.9464958
253,펫블라썸,서울 은평구 응암동 126-21 B102호,37.59677078,126.9193829
254,중앙애견,서울 중구 퇴계로 252-2,37.56233241,126.9998517
255,푸드마스터그룹,서울 종로구 혜화로 5,37.58616535,127.0004892
256,마이펫코리아,서울 중구 을지로 248 대광빌딩 303호,37.56616404,127.005642
257,야옹아멍멍해봐 성북점,서울 성북구 삼선교로24길 3,37.58969447,127.0151078
258,참피온애견,서울 중구 퇴계로 223,37.56204459,126.9965983
259,점푸캣,서울 종로구 혜화로 26-1 3층,37.58799301,126.99992
260,스몰스터프,서울 용산구 회나무로13나길 42-1 101호,37.54137981,126.9922267
261,동대문애완용품도매할인,서울 종로구 종로 290,37.57109999,127.0104742
262,강아지고양이편의점 한성대점,서울 성북구 동소문로6길 20-5,37.58809742,127.0082766
263,덴티스츠 어포인트먼트,서울 용산구 회나무로42길 4,37.54073091,126.9958483
264,스프링펫 창신점,서울 종로구 종로51길 16,37.572722,127.0119753
265,펫데렐라프로젝트,서울 용산구 회나무로26길 17,37.53922553,126.991106
266,마루펫,서울 중구 퇴계로 286 쌍림빌딩 617호,37.5630792,127.0035931
267,H펫 현대시티아울렛 동대문점,서울 중구 장충단로13길 20 2층,37.56873455,127.0076665
268,펫클럽 청계점,서울 종로구 청계천로 331 1층,37.57011285,127.0147743
269,뚜리까까,서울 성북구 동소문로2길 79 101호,37.5893528,127.0101753
270,올댓펫,서울 중구 동호로 204 동원빌딩 1층,37.55628036,127.0099297
271,와와펫 동묘점,서울 종로구 종로 334,37.57256617,127.0147924
