,사업장명,주소,위도,경도
126,독스하트반려동물미용,경기도 고양시 덕양구 동송로 70 157-161호,37.65720909,126.9315697
127,카페 펫토리얼카페,서울특별시 종로구 종로 394 태정빌딩 2층,37.57447737,127.0212317
128,멍박스24 애견셀프목욕 & 무인카페반려동물미용,서울특별시 성북구 보문로34길 39 2층 멍박스,37.59076885,127.0174579
129,"오성리카페,디저트",서울특별시 강북구 삼양로73가길 3,37.62939777,127.0174555
130,"와이낫카페,디저트",서울특별시 강북구 수유로 59-1 1층 와이낫,37.63597462,127.0202391
131,"카페문나잇카페,디저트",서울특별시 강북구 솔매로50길 7,37.62613743,127.0271454
132,"퍼푸치노카페,디저트",서울특별시 성북구 동소문로11길 23 1층 카페,37.59230225,127.0116129
133,"퍼피커피카페,디저트",서울특별시 성동구 무학로 24-1 1층,37.56640445,127.0302947
134,행복하개키울고양반려동물,서울특별시 성북구 고려대로11길 24 2층,37.58738822,127.0218493
135,"안티 스트레스카페,디저트",서울특별시 용산구 이태원로20가길 9-7 2층,37.53380153,126.9928759
136,"카페드블루 블루스퀘어점카페,디저트",서울특별시 용산구 한남동 727-35 카페드블루,37.54125767,127.0030561
137,"앁카페,디저트",서울특별시 성동구 독서당로 230,37.54428748,127.0161133
138,1989 비스트로양식,서울특별시 용산구 회나무로13가길 37 1층 1989 비스트로,37.54104315,126.9916365
139,"바잇미 신사점카페,디저트",서울특별시 강남구 논현로175길 101-3 1층,37.52256677,127.0212579
140,카페엔바이콘 논현점카페,서울특별시 강남구 도산대로 130,37.51718945,127.0229741
141,"라르고템포카페,디저트",서울특별시 강남구 도산대로15길 32-10 3층,37.52093003,127.023528
142,"쌀콩달콩카페,디저트",서울특별시 서초구 사평대로57길 43,37.50613555,127.0226022
143,반려동물생활연구소 압구정점애견용품,서울특별시 강남구 압구정로 134 반려동물생활연구소,37.52435015,127.0235131
144,"데이비드쥬스과일,주스전문점",서울특별시 영등포구 여의동로 213 여의도금호리첸시아,37.51859533,126.9396296
145,스낵랩반려동물,서울특별시 동작구 장승배기로4길 9,37.5014493,126.9438142
146,"어라운드데이카페,디저트",서울특별시 성동구 서울숲2길 24-1,37.54686967,127.0412711
147,"erolpa카페,디저트",서울특별시 성동구 둘레7길 15 1층,37.53803436,127.0490695
148,바라봄애견카페,서울특별시 강남구 영동대로142길 27 1층,37.52521703,127.0555059
149,댕블리애견카페,서울특별시 동대문구 답십리로23길 127 1층 애견카페 댕블리,37.58067787,127.0519176
150,"onnidang카페,디저트",서울특별시 동대문구 답십리로63길 125 1층,37.57817997,127.0692741
151,카페개인카페,서울특별시 중랑구 동일로 489-1,37.57402117,127.0798208
152,"카페다르다카페,디저트",서울특별시 광진구 뚝섬로 657 1층 104호 카페다르다,37.53164171,127.0826213
153,"리에주커피카페,디저트",서울특별시 광진구 군자로 162 1층,37.55528432,127.0769712
154,컵인더스튜디오카페,서울특별시 광진구 아차산로25길 36 1층 카페,37.54293211,127.0673554
155,"카페몽당카페,디저트",서울특별시 광진구 광장로5길 24 1층,37.5488118,127.1052635
156,"스톤앤워터카페,디저트",서울특별시 송파구 가락로 283 1층,37.5131209,127.1198219
157,카페커피는카페,서울특별시 송파구 토성로15길 15-8 1층 카페커피는,37.53053481,127.1174324
158,빌라드코스테스이탈리아음식,서울특별시 성북구 화랑로5길 4,37.60271305,127.0391193
159,"번동숲속카페카페,디저트",서울특별시 강북구 오현로 199-17 102호,37.62958215,127.0391117
160,제로 포인트 제로카페,서울특별시 노원구 공릉로62길 19 1층 zero point zero 카페,37.63602444,127.0719209
161,"NOWHERE카페,디저트",서울특별시 노원구 동일로186길 67-20 1층,37.62622915,127.0764294
162,"매로우카페,디저트",서울특별시 도봉구 덕릉로60다길 34,37.63759741,127.0391017
163,오늘맑음브런치,서울특별시 강북구 4.19로17길 14-1 1층,37.6442841,127.0056685
164,케슬리샌드위치,서울특별시 노원구 상계로1길 74 113호,37.65944318,127.0615323
165,다니맘반려동물,서울특별시 노원구 한글비석로23길 26 1층 다니맘,37.65969337,127.0710165
166,"보엘라카페,디저트",경기도 남양주시 덕송2로10번길 17 1층일부호,37.66639923,127.115422
167,아우어룸카페,서울특별시 강동구 양재대로110길 47 1층,37.53512091,127.1419541
168,카페 어질리티애견카페,서울특별시 강동구 양재대로 1355 옥상,37.52739525,127.1356161
169,"카페탄젠트카페,디저트",서울특별시 강동구 성안로 196 1층 카페탄젠트,37.54027417,127.1370061
170,KKA 한국어질리티연합애견훈련,서울특별시 강동구 양재대로 1355,37.52739525,127.1356161
