,name,lat,long,address,type
161,이쁘니 이발소,37.5963117,127.013792,서울특별시 성북구 동소문동7가,위탁관리업
162,한사랑펫,,,서울특별시 성북구 성북동1가,위탁관리업
163,한사랑동물병원,37.59339600000001,127.0016826,서울특별시 성북구 성북동1가,위탁관리업
164,호담동물병원,37.6067525,127.0285191,서울특별시 성북구 하월곡동,위탁관리업
165,스마트동물병원 성북길음점,37.6095887,127.0186795,서울특별시 성북구 길음동,위탁관리업
166,넬동물의료센터,37.6087789,127.0357595,서울특별시 성북구 하월곡동,위탁관리업
167,페리독,37.5937887,127.0152736,서울특별시 성북구 동소문동6가,위탁관리업
168,야옹아 멍멍해봐,37.5897851,127.0152971,서울특별시 성북구 삼선동5가,위탁관리업
169,행복하개,37.6137323,127.046243,서울특별시 성북구 장위동,위탁관리업
170,토미펫샵,37.5874359,127.0104807,서울특별시 성북구 삼선동2가,위탁관리업
171,앙리동물병원,37.59339600000001,127.0016826,서울특별시 성북구 성북동,위탁관리업
172,털좀밀개,37.642338,127.0300198,서울특별시 강북구 수유동,위탁관리업
173,리독,37.6329905,127.0381844,서울특별시 강북구 수유동,위탁관리업
174,멍멍슈퍼,37.6377632,127.0223881,서울특별시 강북구 수유동,위탁관리업
175,멍멍이발소,37.6389042,127.0204729,서울특별시 강북구 수유동,위탁관리업
176,coco puppy,37.6317105,127.0277876,서울특별시 강북구 미아동,위탁관리업
177,아이사랑 동물병원,37.6171833,127.0220243,서울특별시 강북구 미아동,위탁관리업
178,솔샘펫,37.62021379999999,127.0158881,서울특별시 강북구 미아동,위탁관리업
179,H 동물병원,37.6142123,127.0340232,서울특별시 강북구 미아동,위탁관리업
180,위드벳홀딩스 주식회사,37.5518018,127.0736345,서울특별시 강북구 수유동,위탁관리업
181,24시 수유 바른펫 동물의료센터,37.6414183,127.0222438,서울특별시 강북구 수유동,위탁관리업
182,펫시터(애견호텔)라울레미 하우스,37.6268335,127.0269077,서울특별시 강북구 미아동,위탁관리업
183,버블펫,37.624054,127.0322283,서울특별시 강북구 미아동,위탁관리업
184,꽃보다 개,37.6454576,127.0245285,서울특별시 강북구 수유동,위탁관리업
185,나라 앤 송이 애견샵,37.6430126,127.027306,서울특별시 강북구 수유동,위탁관리업
186,몽앤츄,37.6555565,127.0414833,서울특별시 도봉구 창동,위탁관리업
187,푹쉬개 애견샵,37.6571794,127.0483916,서울특별시 도봉구 창동,위탁관리업
188,waldog(왈독),37.6568202,127.0399881,서울특별시 도봉구 창동,위탁관리업
189,고놈들,37.6435791,127.0305575,서울특별시 도봉구 쌍문동,위탁관리업
190,두부네,37.6680236,127.047071,서울특별시 도봉구 방학동,위탁관리업
191,사랑해줄개,37.6773914,127.0446283,서울특별시 도봉구 도봉동,위탁관리업
192,푼푼호텔,37.6615544,127.0389036,서울특별시 도봉구 쌍문동,위탁관리업
193,(주)마이리틀프렌드 도봉지점,37.66756640000001,127.0454944,서울특별시 도봉구 방학동,위탁관리업
194,도그송,37.6459611,127.0395567,서울특별시 도봉구 창동,위탁관리업
195,강아지풀,37.6385567,127.0402412,서울특별시 도봉구 창동,위탁관리업
196,핑크퍼피(PINKPUPPY),37.6709097,127.0407746,서울특별시 도봉구 도봉동,위탁관리업
197,강아지세상,37.6573275,127.0282084,서울특별시 도봉구 쌍문동,위탁관리업
198,하비동물병원,37.6519864,127.0464766,서울특별시 도봉구 창동,위탁관리업
199,(주)비에이치벳홀딩스,37.669057,127.0431913,서울특별시 도봉구 방학동,위탁관리업
200,쌍문동 댕댕이네,37.6464278,127.0267924,서울특별시 도봉구 쌍문동,위탁관리업
201,365동물병원,37.6629348,127.0463381,서울특별시 도봉구 방학동,위탁관리업
202,몽블리펫,37.63511099999999,127.042166,서울특별시 도봉구 창동,위탁관리업
203,애견놀이터,37.6490537,127.0274879,서울특별시 도봉구 쌍문동,위탁관리업
204,강북우리동물의료센터,37.6568202,127.0399881,서울특별시 도봉구 창동,위탁관리업
205,댕댕스토리,37.6566575,127.0625433,서울특별시 노원구 상계동,위탁관리업
206,웰리스동물병원,37.649542,127.0763583,서울특별시 노원구 중계동,위탁관리업
207,개와커피가썸타는날(개썸커피),37.6556456,127.0653791,서울특별시 노원구 상계동,위탁관리업
208,애견미용 견출지 노원점,37.6660498,127.0570368,서울특별시 노원구 상계동,위탁관리업
209,아이엠독,37.650405,127.0612677,서울특별시 노원구 상계동,위탁관리업
210,독스미스,37.6481369,127.0576735,서울특별시 노원구 상계동,위탁관리업
211,나나펫(NaNaPet),37.6567482,127.0745358,서울특별시 노원구 중계동,위탁관리업
212,개과천선,37.6548571,127.0695833,서울특별시 노원구 상계동,위탁관리업
213,도그마루 노원점,37.6206102,127.0749119,서울특별시 노원구 상계동,위탁관리업
214,개다방,37.6557521,127.0631338,서울특별시 노원구 상계동,위탁관리업
215,도니바니 애견카페,37.6566014,127.0629736,서울특별시 노원구 상계동,위탁관리업
216,똑똑독,37.6621157,127.0701422,서울특별시 노원구 상계동,위탁관리업
217,아담스펫강아지&가필드고양이,37.7202886,126.7386688,서울특별시 노원구 상계동,위탁관리업
218,소담 살롱,37.6634939,127.072045,서울특별시 노원구 상계동,위탁관리업
219,루프독 1027,37.621786,127.0738653,서울특별시 노원구 공릉동,위탁관리업
220,루피네,37.6778272,127.0544831,서울특별시 노원구 상계동,위탁관리업
221,카페멍스,37.6569224,127.0635645,서울특별시 노원구 상계동,위탁관리업
222,유림동물병원,37.6267357,127.0511204,서울특별시 노원구 월계동,위탁관리업
223,닥터스종합동물병원,37.6291401,127.0578102,서울특별시 노원구 월계동,위탁관리업
224,파트라슈,37.6478055,127.0792139,서울특별시 노원구 중계동,위탁관리업
225,수락동물병원,37.6729279,127.055951,서울특별시 노원구 상계동,위탁관리업
226,메인동물메디컬센터,37.621655,127.0739,서울특별시 노원구 공릉동,위탁관리업
227,스마일플러스동물병원,37.6238031,127.0733708,서울특별시 노원구 공릉동,위탁관리업
228,한빛종합동물병원,37.6508762,127.0618329,서울특별시 노원구 상계동,위탁관리업
229,엔젤동물병원,37.6285085,127.0718579,서울특별시 노원구 공릉동,위탁관리업
230,애견카페 개그멍,37.6563304,127.0617496,서울특별시 노원구 상계동,위탁관리업
231,MOMO,37.632673,127.0436897,서울특별시 노원구 월계동,위탁관리업
232,핫독,37.6242239,127.0794698,서울특별시 노원구 공릉동,위탁관리업
233,별이&체리,37.5892434,126.9158281,서울특별시 은평구 응암동,위탁관리업
234,어울동물의료센터,37.6057539,126.93343,서울특별시 은평구 녹번동,위탁관리업
235,낭만고양이,37.5738865,127.0161358,서울특별시 은평구 응암동,위탁관리업
236,몽슈슈 강아지,37.5107721,126.7303275,서울특별시 은평구 진관동,위탁관리업
237,The 이뿌개,37.6092732,126.910721,서울특별시 은평구 응암동,위탁관리업
238,honapet(호나펫),37.5934242,126.92162,서울특별시 은평구 응암동,위탁관리업
239,애견미니호텔,37.5928245,126.9180176,서울특별시 은평구 응암동,위탁관리업
240,메르시몽프레,37.6206602,126.9204168,서울특별시 은평구 불광동,위탁관리업
241,디어도그,37.58679,126.9199584,서울특별시 은평구 응암동,위탁관리업
242,도그펠리스,37.6553816,126.9482092,서울특별시 은평구 진관동,위탁관리업
243,해피멍,37.6046641,126.9144984,서울특별시 은평구 역촌동,위탁관리업
244,도그원,37.6193935,126.917576,서울특별시 은평구 갈현동,위탁관리업
245,고마워 MIN,37.5774078,126.9090084,서울특별시 은평구 역촌동,위탁관리업
246,메디펫 동물병원,37.6219565,126.9195031,서울특별시 은평구 갈현동,위탁관리업
247,퍼피하우스,37.5958383,126.9144749,서울특별시 은평구 신사동,위탁관리업
248,금쪽같은 내새끼 동물병원,37.615343,126.9178488,서울특별시 은평구 갈현동,위탁관리업
249,Dr.윤24시동물병원,37.6165209,126.9231826,서울특별시 은평구 대조동,위탁관리업
250,우리덕구 동물병원,37.6343201,126.9265883,서울특별시 은평구 진관동,위탁관리업
251,한빛동물병원,37.6474019,126.929563,서울특별시 은평구 진관동,위탁관리업
252,미용하는 강아지,37.5886594,126.9122795,서울특별시 은평구 증산동,위탁관리업
253,은평애견,37.6031294,126.9160371,서울특별시 은평구 역촌동,위탁관리업
254,행복한 강아지,37.6238482,126.9197036,서울특별시 은평구 갈현동,위탁관리업
255,미니펫,37.5968812,126.919038,서울특별시 은평구 응암동,위탁관리업
256,미미에토,37.571228,126.9339927,서울특별시 서대문구 연희동,위탁관리업
257,Hello,37.5810808,126.9146246,서울특별시 서대문구 북가좌동,위탁관리업
258,우연희,37.5535514,126.9037756,서울특별시 서대문구 연희동,위탁관리업
259,바오펫살롱,37.5754798,126.9361793,서울특별시 서대문구 연희동,위탁관리업
260,펫티즈,37.5671648,126.931125,서울특별시 서대문구 연희동,위탁관리업
261,GAEKOS Family,37.5728364,126.938104,서울특별시 서대문구 연희동,위탁관리업
262,연희동 미미네,37.5708777,126.9345413,서울특별시 서대문구 연희동,위탁관리업
263,BOSS PUPPY,37.5708777,126.9345413,서울특별시 서대문구 연희동,위탁관리업
264,아이 러브 펫,37.6138454,127.0410652,서울특별시 서대문구 홍제동,위탁관리업
265,링크애견샵,37.5571583,126.9492609,서울특별시 서대문구 북아현동,위탁관리업
266,개들의 왕국,37.5606558,126.9465796,서울특별시 서대문구 대현동,위탁관리업
267,퍼피독,37.5575365,126.9349608,서울특별시 서대문구 창천동,위탁관리업
268,썬 개린이집,37.4923809,127.0400194,서울특별시 서대문구 연희동,위탁관리업
269,핑키펫,37.5956765,126.9490626,서울특별시 서대문구 홍은동,위탁관리업
270,카페 곳,37.5957125,126.9486496,서울특별시 서대문구 홍제동,위탁관리업
271,mummui(멈무이),37.5969051,126.9472992,서울특별시 서대문구 홍제동,위탁관리업
272,은퇴한 수의사의 저택,37.5871322,126.9319759,서울특별시 서대문구 홍은동,위탁관리업
273,퍼피하우스,37.560833,126.956123,서울특별시 서대문구 북아현동,위탁관리업
274,러브펫,37.5704286,126.9600924,서울특별시 서대문구 영천동,위탁관리업
275,우리동물병원,37.5708604,126.9612919,서울특별시 서대문구 영천동,위탁관리업
276,스타일나개,37.569703,126.961128,서울특별시 서대문구 옥천동,위탁관리업
277,견살롱,37.5475378,126.9422181,서울특별시 마포구 대흥동,위탁관리업
278,세븐에이치샵(7H#),37.5599577,126.9025057,서울특별시 마포구 망원동,위탁관리업
279,겨울이 머무는 집,37.5499182,126.9218476,서울특별시 마포구 서교동,위탁관리업
280,멍멍벅스,37.5557309,126.9107312,서울특별시 마포구 서교동,위탁관리업
281,반려독 (Band Your Dpg),37.5559772,126.9012821,서울특별시 마포구 망원동,위탁관리업
282,독핏케어센터,37.551566,126.9121256,서울특별시 마포구 합정동,위탁관리업
283,나만믿개,37.5800693,126.8914327,서울특별시 마포구 상암동,위탁관리업
284,감성그루밍,37.5568129,126.9477118,서울특별시 마포구 대흥동,위탁관리업
285,마이펫 글리,37.5583834,126.9085428,서울특별시 마포구 성산동,위탁관리업
286,워킹페코,37.5536378,126.9229541,서울특별시 마포구 창전동,위탁관리업
287,플라잉펫,37.54891509999999,126.9521527,서울특별시 마포구 공덕동,위탁관리업
288,웰케어동물병원,37.5568369,126.9190588,서울특별시 마포구 서교동,위탁관리업
289,다온펫샵,37.5554807,126.9335479,서울특별시 마포구 노고산동,위탁관리업
290,와우동물병원,37.56696489999999,126.9097901,서울특별시 마포구 성산동,위탁관리업
291,푸른숲동물병원,37.5573504,126.9092511,서울특별시 마포구 서교동,위탁관리업
292,써니네,37.5566873,126.9254042,서울특별시 마포구 동교동,위탁관리업
293,쥬쥬펫,37.5626227,126.9235471,서울특별시 마포구 연남동,위탁관리업
294,닥터호오 동물병원,37.54300920000001,126.937863,서울특별시 마포구 용강동,위탁관리업
295,목욕하는 강아지,37.5471299,126.9377066,서울특별시 마포구 신수동,위탁관리업
296,구름뜬하늘,37.5541595,126.9271021,서울특별시 마포구 서교동,위탁관리업
297,(주)독핏코리아,37.5520144,126.9120676,서울특별시 마포구 합정동,위탁관리업
298,즐거운 애견미용,37.5574878,126.9149647,서울특별시 마포구 서교동,위탁관리업
299,독앤독,37.5493302,126.9521129,서울특별시 마포구 도화동,위탁관리업
300,아이멍쥬,37.519421,126.8444014,서울특별시 양천구 신월동,위탁관리업
301,서서울호수동물병원,37.5302541,126.8324079,서울특별시 양천구 신월동,위탁관리업
302,가나종합동물병원,37.5377149,126.8820894,서울특별시 양천구 목동,위탁관리업
303,리더스 동물병원,37.5216218,126.8742309,서울특별시 양천구 신정동,위탁관리업
304,POSH(포쉬),37.524965,126.8548529,서울특별시 양천구 신정동,위탁관리업
305,양천종합동물병원,37.5222264,126.8426171,서울특별시 양천구 신월동,위탁관리업
306,파란동물병원,37.5222264,126.8426171,서울특별시 양천구 신월동,위탁관리업
307,몽스파목동점,37.53020830000001,126.8732314,서울특별시 양천구 목동,위탁관리업
308,파란동물병원,37.5222264,126.8426171,서울특별시 양천구 신월동,위탁관리업
309,페토브 동물병원,37.5145134,126.8715105,서울특별시 양천구 신정동,위탁관리업
310,별개,37.5225727,126.8325717,서울특별시 양천구 신월동,위탁관리업
311,신월동물병원,37.52045469999999,126.8444005,서울특별시 양천구 신월동,위탁관리업
312,봄날동물병원,37.5373159,126.8720861,서울특별시 양천구 목동,위탁관리업
313,이든반려견 문화센터,37.52808290000001,126.858874,서울특별시 양천구 신정동,위탁관리업
314,아이러브독 애견미용실,37.5244205,126.859391,서울특별시 양천구 신정동,위탁관리업
315,몽몽,37.5195484,126.8568464,서울특별시 양천구 신정동,위탁관리업
