,park,salon,cafe,deliver,equip,rst,hospital,manage,pharmacy,playground,restaurant,sell,cluster,lat,lng
1499,0.2,0.157894737,0.181818182,0.142857143,0.2,0.032258065,0.086956522,0.173913043,0.111111111,0,0.027027027,0.11627907,19,37.593239,126.954507
1500,0.2,0.052631579,0.090909091,0,0.04,0.032258065,0.086956522,0.130434783,0.022222222,0,0.054054054,0.011627907,15,37.593239,126.959507
1501,0.4,0.026315789,0.090909091,0,0.04,0.032258065,0.086956522,0.043478261,0.022222222,0,0.081081081,0.011627907,2,37.593239,126.964507
1502,0.5,0,0.090909091,0,0,0,0.130434783,0,0,0,0.081081081,0,2,37.593239,126.969507
1503,0.4,0,0.090909091,0,0.08,0,0,0,0,0,0.081081081,0,2,37.593239,126.974507
1504,0.3,0,0,0.142857143,0.08,0,0,0,0,0,0.054054054,0,15,37.593239,126.979507
1505,0.3,0,0,0.285714286,0.08,0,0,0,0,0,0.054054054,0,11,37.593239,126.984507
1506,0.5,0,0,0.142857143,0.08,0.016129032,0,0,0,0,0.027027027,0,2,37.593239,126.989507
1507,0.6,0.052631579,0,0.142857143,0.08,0.016129032,0.086956522,0.086956522,0,0,0.027027027,0.069767442,2,37.593239,126.994507
1508,0.5,0.078947368,0,0.142857143,0.2,0.048387097,0.086956522,0.130434783,0.088888889,0,0.054054054,0.104651163,2,37.593239,126.999507
1509,0.6,0.210526316,0.090909091,0,0.32,0.129032258,0.304347826,0.260869565,0.155555556,0,0.027027027,0.174418605,19,37.593239,127.004507
1510,0.5,0.368421053,0.181818182,0.142857143,0.4,0.161290323,0.391304348,0.434782609,0.266666667,0,0.081081081,0.395348837,7,37.593239,127.009507
1511,0.5,0.342105263,0.272727273,0.571428571,0.52,0.161290323,0.391304348,0.391304348,0.333333333,0,0.081081081,0.406976744,14,37.593239,127.014507
1512,0.4,0.289473684,0.272727273,0.571428571,0.32,0.161290323,0.391304348,0.347826087,0.311111111,0,0.081081081,0.337209302,14,37.593239,127.019507
1513,0.3,0.210526316,0.181818182,1,0.28,0.064516129,0.260869565,0.260869565,0.266666667,0,0.081081081,0.290697674,14,37.593239,127.024507
1514,0.2,0.131578947,0.090909091,1,0.2,0.032258065,0.130434783,0.173913043,0.155555556,0.333333333,0.081081081,0.220930233,14,37.593239,127.029507
1515,0.2,0.105263158,0,0,0.08,0,0.130434783,0.043478261,0.111111111,0.333333333,0.081081081,0.081395349,16,37.593239,127.034507
1516,0.2,0.157894737,0,0,0.08,0,0.217391304,0.086956522,0.111111111,0.333333333,0.054054054,0.104651163,16,37.593239,127.039507
1517,0.2,0.105263158,0,0,0.08,0.048387097,0.173913043,0.086956522,0.133333333,0.333333333,0,0.093023256,16,37.593239,127.044507
1518,0.2,0.105263158,0,0,0.16,0.048387097,0.130434783,0.086956522,0.133333333,0.666666667,0,0.069767442,9,37.593239,127.049507
1519,0.2,0.210526316,0,0,0.12,0.048387097,0.173913043,0.173913043,0.222222222,0.333333333,0,0.127906977,10,37.593239,127.054507
1520,0.2,0.263157895,0,0,0.08,0.032258065,0.217391304,0.217391304,0.222222222,0.333333333,0,0.186046512,10,37.593239,127.059507
1521,0.2,0.263157895,0,0,0.08,0.096774194,0.304347826,0.217391304,0.2,0.333333333,0.027027027,0.197674419,10,37.593239,127.064507
1522,0.2,0.342105263,0,0.142857143,0.16,0.064516129,0.391304348,0.347826087,0.2,0.333333333,0.054054054,0.337209302,10,37.593239,127.069507
1523,0.1,0.263157895,0.090909091,0.142857143,0.28,0.064516129,0.304347826,0.260869565,0.155555556,0.333333333,0.027027027,0.313953488,10,37.593239,127.074507
1524,0.2,0.342105263,0.090909091,0.285714286,0.4,0.096774194,0.47826087,0.304347826,0.377777778,0.333333333,0.108108108,0.395348837,8,37.593239,127.079507
1525,0.2,0.421052632,0.090909091,0.285714286,0.52,0.112903226,0.391304348,0.347826087,0.377777778,0.333333333,0.081081081,0.488372093,8,37.593239,127.084507
1526,0.3,0.394736842,0.090909091,0.285714286,0.32,0.161290323,0.47826087,0.260869565,0.333333333,0.333333333,0.081081081,0.430232558,8,37.593239,127.089507
1527,0.4,0.421052632,0.090909091,0.142857143,0.44,0.14516129,0.391304348,0.260869565,0.355555556,0,0.081081081,0.418604651,7,37.593239,127.094507
1528,0.4,0.263157895,0.090909091,0,0.36,0.064516129,0.217391304,0.130434783,0.155555556,0,0.081081081,0.26744186,19,37.593239,127.099507
1529,0.4,0.184210526,0.090909091,0,0.32,0.032258065,0.130434783,0.086956522,0.133333333,0,0.081081081,0.209302326,19,37.593239,127.104507
1530,0.4,0.131578947,0.090909091,0,0.36,0.016129032,0.043478261,0.086956522,0.088888889,0,0.081081081,0.151162791,2,37.593239,127.109507
1531,0.3,0,0,0,0,0.016129032,0,0,0.022222222,0,0.135135135,0.011627907,15,37.593239,127.114507
1532,0.3,0,0,0,0,0,0,0,0,0,0.108108108,0,15,37.593239,127.119507
1533,0.2,0.131578947,0,0.142857143,0.08,0,0,0,0,0,0.054054054,0,15,37.593239,127.124507
1534,0.1,0.236842105,0,0.142857143,0.16,0,0,0,0,0,0.054054054,0,11,37.593239,127.129507
1535,0,0.473684211,0.090909091,0.142857143,0.2,0,0,0,0,0,0.054054054,0,11,37.593239,127.134507
1536,0,0.710526316,0.090909091,0.285714286,0.28,0,0,0,0,0,0.054054054,0,11,37.593239,127.139507
1537,0,0.657894737,0.090909091,0.285714286,0.2,0,0,0,0,0,0.054054054,0,11,37.593239,127.144507
1538,0,0.473684211,0.090909091,0.142857143,0.16,0,0,0,0,0,0.054054054,0,11,37.593239,127.149507
1539,0,0.289473684,0.090909091,0.142857143,0.08,0,0,0,0,0,0.027027027,0,11,37.593239,127.154507
1540,0,0.078947368,0,0.142857143,0.04,0,0,0,0,0,0,0,15,37.593239,127.159507
1541,0,0.052631579,0,0.142857143,0.04,0,0,0,0,0,0,0,15,37.593239,127.164507
1542,0,0.078947368,0.090909091,0.142857143,0.04,0,0,0,0,0,0,0,15,37.593239,127.169507
1543,0,0.078947368,0.090909091,0.142857143,0.04,0,0,0,0,0,0,0,15,37.593239,127.174507
1544,0,0.026315789,0.090909091,0,0.04,0,0,0,0,0,0,0,15,37.593239,127.179507
1545,0,0,0.090909091,0,0,0,0,0,0,0,0,0,15,37.593239,127.184507
1546,0,0,0.090909091,0.142857143,0,0,0,0,0,0,0,0,15,37.593239,127.189507
1547,0,0,0,0.142857143,0,0,0,0,0,0,0,0,15,37.593239,127.194507
1548,0,0,0,0.142857143,0,0,0,0,0,0,0,0,15,37.593239,127.199507
1549,0,0,0,0.142857143,0,0,0,0,0,0,0,0,15,37.593239,127.204507
1550,0,0.052631579,0,0,0,0,0,0,0,0,0,0,15,37.593239,127.209507
1551,0,0.105263158,0,0,0,0,0,0,0,0,0,0,15,37.593239,127.214507
1552,0,0.078947368,0,0,0,0,0,0,0,0,0,0,15,37.593239,127.219507
1553,0,0.052631579,0,0,0,0,0,0,0,0,0,0,15,37.593239,127.224507
1554,0,0,0,0,0,0,0,0,0,0,0,0,15,37.598239,126.859507
1555,0,0,0,0,0,0,0,0,0,0,0,0,15,37.598239,126.864507
1556,0,0,0,0,0,0,0,0,0,0,0,0,15,37.598239,126.869507
1557,0,0,0,0,0,0,0,0,0,0,0,0,15,37.598239,126.874507
1558,0,0,0,0,0,0,0,0,0,0,0,0,15,37.598239,126.879507
1559,0.1,0.052631579,0,0,0.04,0,0,0,0,0,0,0,15,37.598239,126.884507
1560,0.2,0.052631579,0,0,0.04,0,0,0,0,0,0,0,15,37.598239,126.889507
1561,0.2,0.052631579,0,0,0.04,0,0,0,0,0,0.027027027,0,15,37.598239,126.894507
1562,0.2,0.157894737,0,0,0.2,0.016129032,0.043478261,0,0.066666667,0,0.054054054,0.046511628,15,37.598239,126.899507
1563,0.2,0.184210526,0,0,0.2,0.016129032,0.086956522,0.043478261,0.177777778,0,0.135135135,0.11627907,2,37.598239,126.904507
1564,0.2,0.5,0.090909091,0,0.28,0.064516129,0.304347826,0.217391304,0.333333333,0,0.135135135,0.313953488,7,37.598239,126.909507
1565,0.3,0.578947368,0.181818182,0,0.32,0.096774194,0.434782609,0.260869565,0.466666667,0,0.135135135,0.465116279,7,37.598239,126.914507
1566,0.3,0.578947368,0.181818182,0,0.4,0.129032258,0.391304348,0.260869565,0.511111111,0,0.135135135,0.488372093,7,37.598239,126.919507
