,번호,인증번호,농장명,농장소재지,인증품목,인증날짜,사육시설,사육규모(마리),자유방목
49,301,동물복지-13-03-6-5,동서목장,충청남도보령시,젖소,2021-04-06,"2동 5,590㎡",256,X
50,300,동물복지-15-14-4-1,만희농장,전라남도해남군,한우,2021-04-16,"4동 3,310.02㎡",180,X
51,299,동물복지-14-06-3-5,무지개농장,전라북도김제시,육계,2020-04-06,"2동 3,262.2㎡",54285,X
52,298,동물복지-19-00-6-2,정동축산,세종특별자치시연서면 효교동,젖소,2021-03-11,"6동 5,411.5㎡",206,X
53,297,동물복지-19-00-6-1,정동목장2,세종특별자치시연서면 효교동,젖소,2021-03-11,"1동 2,119.94㎡",115,X
54,296,동물복지-15-15-6-1,대행목장,전라남도영암군,젖소,2021-01-29,"2동 2,422.02㎡",133,X
55,295,동물복지-15-09-6-1,늘푸른목장,전라남도고흥군,젖소,2021-01-22,"2동 2,738.05㎡",59,X
56,294,동물복지-12-03-1-5,올계농장,충청북도제천시,산란계,2020-10-14,"3동 1,061.51㎡",1700,O
57,293,동물복지-13-01-6-3,신대진목장,충청남도천안시,젖소,2020-11-24,"2동 2,424.1㎡",134,X
58,292,동물복지-16-12-1-3,토골농장,경상북도의성군,산란계,2020-11-10,"2동 1,496㎡",10000,X
59,291,동물복지-13-13-1-1,장복농장,충청남도예산군,산란계,2020-10-14,"5동 3,827㎡",29000,X
60,290,동물복지-14-04-3-13,마정2농장,전라북도정읍시,육계,2020-09-21,"2동 2,662.4㎡",48320,X
61,289,동물복지-14-04-3-12,마정1농장,전라북도정읍시,육계,2020-09-21,"2동 2,484㎡",45227,X
62,288,동물복지-11-09-1-2,농업회사법인(주)정암농장,강원도횡성군,산란계,2021-07-14,"3동 3,003㎡",24000,X
63,287,동물복지-16-14-1-2,농법(주)닭실재래닭연구소,경상북도영양군,산란계,2020-08-31,"9동 2,048㎡",9500,X
64,286,동물복지-16-01-1-1,농업회사법인(주)새터자연란,경상북도포항시,산란계,2020-08-25,"11동 7,852㎡",54000,X
65,285,동물복지-13-04-1-6,성윤농원,충청남도아산시,산란계,2020-08-21,"3동 1,728㎡",13500,O
66,284,동물복지-13-03-6-4,한아름목장,충청남도보령시,젖소,2020-07-31,"6동 3,478㎡",186,X
67,283,동물복지-12-02-3-1,황실토종닭농장,충청북도충주시,육계,2020-07-28,2동 268.8㎡,2200,X
68,282,동물복지-10-24-2-6,희주농장,경기도화성시,돼지,2020-07-14,"6동 2,217.6㎡",2130,X
69,281,동물복지-16-20-1-1,예지농장,경상북도예천군,산란계,2020-07-10,2동 350㎡,1850,X
70,280,동물복지-10-24-2-5,현지농장,경기도화성시,돼지,2020-06-22,"9동 3,326.4㎡",3130,X
71,279,동물복지-10-26-1-3,서연농장,경기도연천군,산란계,2020-06-22,"4동 2,166.46㎡",10000,O
72,278,동물복지-14-12-1-3,숲에서 온 유정란,전라북도순창군,산란계,2020-06-24,"2동 1,030.57㎡",5700,X
