<<<<<<< Updated upstream
시군명,읍면동명,등록동물수(마리),(등록주체)시군구등록,(등록주체)대행업체등록,(등록주체)기타,(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록품종수,등록소유자수,동물소유자당등록동물수,해당동의등록대행업체수,데이터기준일자
광명시,노온사동,71,9,61,0,36,18,17,19,50,1.42,,2021-09-01
광명시,소하동,4257,269,3988,0,2604,1298,355,85,3286,1.3,6,2021-09-01
광명시,옥길동,33,0,33,0,19,12,2,12,23,1.43,,2021-09-01
광명시,일직동,686,18,668,0,396,229,61,48,541,1.27,2,2021-09-01
광명시,철산동,4604,332,4271,0,2720,1297,587,78,3638,1.26,4,2021-09-01
광명시,하안동,4599,289,4309,0,2674,1539,386,77,3585,1.28,3,2021-09-01
광주시,경안동,897,122,774,1,524,220,153,57,634,1.41,4,2021-07-30
광주시,곤지암읍,1309,207,1088,14,767,275,267,70,820,1.6,2,2021-07-30
광주시,남종면,85,35,49,1,23,23,39,23,41,2.07,,2021-07-30
광주시,남한산성면,181,14,155,0,108,43,30,41,93,1.95,,2021-07-30
광주시,도척면,611,153,456,2,312,118,181,63,314,1.95,,2021-07-30
광주시,목동,111,10,101,0,62,34,15,31,67,1.66,,2021-07-30
광주시,목현동,888,110,778,0,514,238,136,63,644,1.38,,2021-07-30
광주시,삼동,436,65,370,1,250,101,85,52,315,1.38,,2021-07-30
광주시,송정동,1367,146,1221,0,746,412,209,74,1013,1.35,3,2021-07-30
광주시,쌍령동,892,90,799,3,540,217,135,56,662,1.35,1,2021-07-30
광주시,역동,414,24,390,0,257,98,59,38,335,1.24,1,2021-07-30
광주시,오포읍,7307,614,6687,6,3882,2010,1415,120,5097,1.43,6,2021-07-30
광주시,장지동,642,63,577,2,371,161,110,54,478,1.34,,2021-07-30
광주시,중대동,268,39,228,1,157,62,49,31,190,1.41,2,2021-07-30
광주시,직동,53,19,34,0,20,12,21,21,28,1.89,,2021-07-30
광주시,초월읍,3339,350,2987,2,2240,653,446,92,1725,1.94,1,2021-07-30
광주시,탄벌동,907,115,792,0,527,230,150,60,684,1.33,1,2021-07-30
광주시,태전동,1665,172,1493,0,936,498,231,76,1243,1.34,2,2021-07-30
광주시,퇴촌면,907,134,771,2,434,321,152,62,564,1.61,1,2021-07-30
광주시,회덕동,722,94,628,0,414,195,113,59,487,1.48,,2021-07-30
구리시,갈매동,1158,39,1119,0,651,425,82,53,898,1.29,,2021-08-31
구리시,교문동,2432,109,2321,2,1390,871,171,78,1864,1.3,,2021-08-31
구리시,사노동,58,14,44,0,19,25,14,18,37,1.57,,2021-08-31
구리시,수택동,3319,139,3180,0,1885,1165,269,84,2409,1.38,,2021-08-31
구리시,아천동,121,5,115,1,54,53,14,32,94,1.29,,2021-08-31
구리시,인창동,3117,145,2971,1,1621,1204,292,74,2448,1.27,,2021-08-31
구리시,토평동,748,22,726,0,381,315,52,48,600,1.25,,2021-08-31
군포시,,13372,2484,10875,0,8204,3271,1897,109,10735,1.25,14,2021-06-17
김포시,감정동,381,10,371,0,212,152,17,37,322,1.18,2,2020-03-11
김포시,걸포동,118,14,104,0,67,37,14,22,89,1.33,0,2020-03-11
김포시,고촌읍,446,25,421,0,254,146,46,43,375,1.19,2,2020-03-11
김포시,구래동,790,34,756,0,376,343,71,51,652,1.21,4,2020-03-11
김포시,대곶면,252,30,222,0,119,97,36,42,148,1.7,0,2020-03-11
김포시,마산동,531,22,509,0,278,210,43,42,443,1.2,0,2020-03-11
김포시,북변동,342,16,326,0,166,153,23,35,280,1.22,2,2020-03-11
김포시,사우동,441,40,401,0,216,174,51,38,358,1.23,3,2020-03-11
김포시,양촌읍,566,48,518,0,246,250,70,50,433,1.31,3,2020-03-11
김포시,운양동,842,52,790,0,443,321,78,53,700,1.2,2,2020-03-11
김포시,월곶면,116,37,79,0,45,29,42,27,81,1.43,0,2020-03-11
김포시,장기동,1311,41,1270,0,666,572,73,52,1119,1.17,9,2020-03-11
김포시,통진읍,593,45,548,0,325,203,65,45,434,1.37,2,2020-03-11
김포시,풍무동,1018,27,991,0,492,439,87,49,853,1.19,6,2020-03-11
김포시,하성면,165,33,132,0,77,54,34,31,101,1.63,0,2020-03-11
남양주시,금곡동,1386,95,1291,0,843,380,163,64,1056,1.31,1,2021-08-31
남양주시,다산1동,4327,141,4183,3,2411,1064,852,138,3413,1.26,9,2021-08-31
남양주시,다산2동,452,3,449,0,198,124,130,78,353,1.32,4,2021-08-31
남양주시,별내동,4171,175,3996,0,2231,1563,377,79,3152,1.32,7,2021-08-31
남양주시,별내면,999,21,977,1,494,295,210,62,767,1.3,1,2021-08-31
남양주시,수동면,860,94,762,4,539,130,191,79,434,1.98,0,2021-08-31
남양주시,양정동,331,13,317,1,179,85,67,88,191,1.71,1,2021-08-31
남양주시,오남읍,4136,230,3904,2,3077,742,317,89,3082,1.34,2,2021-08-31
남양주시,와부읍,4116,313,3797,6,2754,887,475,89,3075,1.34,5,2021-08-31
남양주시,조안면,267,38,228,1,167,49,51,52,166,1.61,0,2021-08-31
남양주시,진건읍,1514,158,1353,3,1042,254,218,70,1112,1.36,2,2021-08-31
남양주시,진접읍,5655,247,5401,7,3591,1460,604,91,4148,1.36,7,2021-08-31
남양주시,퇴계원읍,1497,74,1423,0,1087,310,100,99,1130,1.39,1,2021-08-31
남양주시,평내동,2556,70,2485,1,1747,596,213,72,1984,1.29,2,2021-08-31
남양주시,호평동,3051,122,2929,0,1935,680,436,89,2332,1.31,4,2021-08-31
남양주시,화도읍,7639,472,7164,3,4945,1428,1266,111,5147,1.48,8,2021-08-31
동두천시,,5464,32,5432,0,2743,2312,409,93,3799,1.44,7,2021-03-17
부천시,계수동,15,0,15,0,7,8,0,7,11,1.355,,2021-07-23
부천시,고강동,3195,93,3102,0,1750,1037,408,109,2390,1.325,3,2021-07-23
부천시,괴안동,2345,44,2301,0,1127,1008,210,94,1818,1.285,3,2021-07-23
부천시,내동,634,19,615,0,259,257,118,58,473,1.32,,2021-07-23
부천시,대장동,33,0,33,0,10,14,9,16,18,1.575,,2021-07-23
부천시,도당동,1416,25,1391,0,612,510,294,81,1099,1.28,1,2021-07-23
부천시,범박동,961,37,921,3,420,447,94,81,753,1.265,1,2021-07-23
부천시,삼정동,540,17,523,0,264,223,53,62,388,1.39,1,2021-07-23
부천시,상동,6150,173,5976,1,3399,2318,433,142,4853,1.265,14,2021-07-23
부천시,소사동,521,28,492,1,283,189,49,68,399,1.3,,2021-07-23
부천시,소사본동,3605,196,3406,3,2012,1243,350,106,2696,1.345,4,2021-07-23
부천시,송내동,3168,47,3119,2,2061,840,267,109,2276,1.365,5,2021-07-23
부천시,심곡동,3150,76,3073,1,1777,1098,275,112,2375,1.315,4,2021-07-23
부천시,심곡본동,2083,59,2024,0,1273,657,153,102,1587,1.305,2,2021-07-23
부천시,약대동,936,20,915,1,433,410,93,75,732,1.28,,2021-07-23
부천시,여월동,1274,30,1244,0,645,449,180,77,983,1.285,1,2021-07-23
부천시,역곡동,2092,46,2044,2,1175,760,157,103,1650,1.265,2,2021-07-23
부천시,오정동,1578,30,1548,0,701,611,266,93,1186,1.32,,2021-07-23
부천시,옥길동,850,27,823,0,378,351,121,47,664,1.305,2,2021-07-23
부천시,원미동,1947,45,1897,5,1021,763,163,94,1454,1.325,2,2021-07-23
부천시,원종동,3987,83,3904,0,2140,1342,505,114,3042,1.3,4,2021-07-23
부천시,작동,757,22,735,0,408,278,71,89,552,1.365,,2021-07-23
부천시,중동,8425,192,8231,2,4543,3039,843,151,6573,1.275,27,2021-07-23
부천시,춘의동,993,11,981,1,548,341,104,69,761,1.295,1,2021-07-23
부천시,합계,50655,1320,49313,22,27246,18193,5216,142,38733,1.31,77,2021-07-23
성남시,갈현동,27,5,22,0,17,6,4,14,22,1.23,,2021-08-25
성남시,고등동,206,21,185,0,117,62,27,35,145,1.42,,2021-08-25
성남시,구미동,2727,405,2319,3,1506,1029,192,76,2169,1.26,,2021-08-25
성남시,궁내동,152,30,122,0,91,46,15,34,114,1.33,,2021-08-25
성남시,금곡동,1750,292,1457,1,983,658,109,63,1399,1.25,,2021-08-25
성남시,금광동,2249,258,1990,1,1516,553,180,60,1742,1.29,,2021-08-25
성남시,금토동,111,21,90,0,64,35,12,31,69,1.61,,2021-08-25
성남시,단대동,821,80,741,0,544,191,86,46,630,1.3,,2021-08-25
성남시,대장동,60,23,37,0,19,32,9,25,35,1.71,,2021-08-25
성남시,도촌동,865,83,782,0,532,271,62,47,726,1.19,,2021-08-25
성남시,동원동,63,6,57,0,34,24,5,20,50,1.26,,2021-08-25
성남시,둔전동,19,2,17,0,7,4,8,11,15,1.27,,2021-08-25
성남시,백현동,1196,162,1034,0,778,301,117,60,942,1.27,,2021-08-25
성남시,복정동,592,45,544,3,391,145,56,48,456,1.3,,2021-08-25
성남시,분당동,1632,225,1407,0,1022,467,143,66,1266,1.29,,2021-08-25
성남시,사송동,60,5,55,0,39,17,4,22,47,1.28,,2021-08-25
성남시,산성동,702,103,598,1,422,202,78,44,544,1.29,,2021-08-25
성남시,삼평동,962,130,832,0,561,319,82,52,814,1.18,,2021-08-25
성남시,상대원동,3483,319,3164,0,2493,753,237,82,2665,1.31,,2021-08-25
성남시,상적동,72,6,66,0,42,16,14,26,47,1.53,,2021-08-25
성남시,서현동,3007,431,2572,4,1839,867,301,71,2451,1.23,,2021-08-25
성남시,석운동,43,5,38,0,26,15,2,20,28,1.54,,2021-08-25
성남시,성남동,2115,223,1892,0,1487,434,194,71,1620,1.31,,2021-08-25
성남시,성남시 수정구,1,0,1,0,1,0,0,1,1,1,,2021-08-25
성남시,수내동,2571,392,2178,1,1478,886,207,62,2111,1.22,,2021-08-25
성남시,수진동,2110,166,1943,1,1468,523,119,67,1473,1.43,,2021-08-25
성남시,시흥동,131,13,117,1,64,54,13,30,86,1.52,,2021-08-25
성남시,신촌동,52,8,44,0,30,12,10,16,37,1.41,,2021-08-25
성남시,신흥동,2981,273,2706,2,2067,676,238,64,2302,1.29,,2021-08-25
성남시,심곡동,144,10,134,0,93,38,13,33,111,1.3,,2021-08-25
성남시,야탑동,3207,445,2761,1,1983,998,226,74,2482,1.29,,2021-08-25
성남시,양지동,539,66,472,1,343,162,34,42,438,1.23,,2021-08-25
성남시,여수동,388,39,347,2,171,178,39,47,309,1.26,,2021-08-25
성남시,오야동,60,9,51,0,28,21,11,19,44,1.36,,2021-08-25
성남시,운중동,1259,134,1125,0,782,376,101,68,856,1.47,,2021-08-25
성남시,율동,59,8,51,0,38,13,8,19,44,1.34,,2021-08-25
성남시,은행동,2303,266,2036,1,1565,555,183,69,1723,1.34,,2021-08-25
성남시,이매동,1945,249,1695,1,1185,539,221,65,1622,1.2,,2021-08-25
성남시,정자동,5509,485,5018,6,3496,1647,366,88,4378,1.26,,2021-08-25
성남시,중동,620,0,620,0,620,0,0,29,447,1.39,,2021-08-25
성남시,중앙동,943,106,837,0,607,265,71,39,652,1.45,,2021-08-25
성남시,창곡동,1618,82,1535,1,885,414,319,55,1227,1.32,,2021-08-25
성남시,태평동,4010,426,3583,1,2558,1130,322,76,2976,1.35,,2021-08-25
성남시,판교동,1057,119,938,0,618,345,94,60,812,1.3,,2021-08-25
성남시,하대원동,1304,161,1143,0,907,258,139,57,1007,1.29,,2021-08-25
성남시,하산운동,3,0,3,0,3,0,0,3,3,1,,2021-08-25
수원시,고등동,769,34,712,23,580,123,66,52,567,1.35,0,2021-06-18
수원시,고색동,987,98,888,1,694,217,76,53,735,1.34,2,2021-06-18
수원시,곡반정동,1542,114,1428,0,926,466,150,65,1090,1.41,2,2021-06-18
수원시,교동,181,14,167,0,131,34,16,35,120,1.51,0,2021-06-18
수원시,구운동,1449,173,1272,4,903,371,175,66,1136,1.27,2,2021-06-18
수원시,구천동,77,2,75,0,53,8,16,17,52,1.48,0,2021-06-18
수원시,권선동,4910,400,4500,10,2950,1399,561,95,3779,1.3,8,2021-06-18
수원시,금곡동,2179,215,1961,3,1205,664,310,69,1689,1.29,5,2021-06-18
수원시,남수동,95,9,86,0,54,26,15,28,64,1.48,0,2021-06-18
수원시,남창동,100,7,93,0,73,19,8,26,72,1.39,0,2021-06-18
수원시,당수동,420,44,376,0,255,106,59,35,333,1.26,0,2021-06-18
수원시,망포동,2401,146,2254,1,1452,701,248,70,1961,1.22,5,2021-06-18
수원시,매교동,378,40,331,7,275,57,46,41,271,1.39,1,2021-06-18
수원시,매산로1가,157,22,134,1,89,47,21,27,95,1.65,0,2021-06-18
수원시,매산로2가,365,28,333,4,243,87,35,39,279,1.31,0,2021-06-18
수원시,매산로3가,237,13,214,10,166,46,25,38,162,1.46,2,2021-06-18
수원시,매탄동,5062,425,4626,11,3142,1489,431,91,3999,1.27,7,2021-06-18
수원시,매향동,72,8,64,0,48,16,8,20,55,1.31,0,2021-06-18
수원시,북수동,118,13,105,0,83,19,16,30,80,1.46,0,2021-06-18
수원시,상광교동,6,0,6,0,4,2,0,4,4,1.5,0,2021-06-18
수원시,서둔동,1000,123,876,1,621,238,141,57,712,1.4,1,2021-06-18
수원시,세류동,3592,312,3270,10,2326,925,341,89,2627,1.37,3,2021-06-18
수원시,송죽동,1307,99,1207,1,872,307,128,57,1016,1.29,0,2021-06-18
수원시,신동,283,16,267,0,164,81,38,37,213,1.33,2,2021-06-18
수원시,신풍동,123,17,104,2,77,30,16,29,86,1.43,0,2021-06-18
수원시,연무동,1164,84,1078,2,876,193,95,64,851,1.37,2,2021-06-18
수원시,영동,34,7,27,0,17,9,8,13,23,1.48,0,2021-06-18
수원시,영통동,3972,297,3669,6,2282,1305,385,83,3290,1.21,9,2021-06-18
수원시,영화동,1450,155,1294,1,1029,246,175,69,1038,1.4,8,2021-06-18
수원시,오목천동,1100,80,1020,0,727,240,133,56,829,1.33,0,2021-06-18
수원시,우만동,2157,227,1930,0,1334,604,219,72,1648,1.31,1,2021-06-18
수원시,원천동,1549,94,1455,0,858,493,198,61,1188,1.3,4,2021-06-18
수원시,율전동,1261,130,1130,1,793,299,169,60,1020,1.24,3,2021-06-18
수원시,이목동,334,17,317,0,211,99,24,47,231,1.45,0,2021-06-18
수원시,이의동,2349,126,2222,1,1275,866,208,77,1848,1.27,13,2021-06-18
수원시,인계동,3102,167,2925,10,2153,687,262,75,2303,1.35,8,2021-06-18
수원시,입북동,314,26,287,1,153,116,45,34,253,1.24,0,2021-06-18
수원시,장안동,77,9,68,0,50,17,10,21,58,1.33,0,2021-06-18
수원시,장지동,16,3,13,0,11,5,0,5,12,1.33,0,2021-06-18
수원시,정자동,4448,311,4129,8,3073,1003,372,85,3519,1.26,7,2021-06-18
수원시,조원동,2951,254,2693,4,1992,657,302,70,2307,1.28,7,2021-06-18
수원시,중동,30,2,28,0,26,4,0,8,19,1.58,3,2021-06-18
수원시,지동,1019,76,938,5,736,204,79,63,722,1.41,2,2021-06-18
수원시,천천동,1319,91,1224,4,914,300,105,50,1098,1.2,5,2021-06-18
수원시,탑동,1420,161,1255,4,929,317,174,67,1056,1.34,1,2021-06-18
수원시,파장동,1154,93,1060,1,777,260,117,53,914,1.26,0,2021-06-18
수원시,팔달로1가,23,1,20,2,18,1,4,11,15,1.53,0,2021-06-18
수원시,팔달로2가,45,1,44,0,29,15,1,19,30,1.5,0,2021-06-18
수원시,팔달로3가,38,6,32,0,19,12,7,14,26,1.46,0,2021-06-18
수원시,평동,132,14,118,0,86,32,14,26,105,1.26,0,2021-06-18
수원시,평리동,3,0,3,0,3,0,0,2,3,1,0,2021-06-18
수원시,하광교동,24,0,24,0,13,10,1,14,16,1.5,0,2021-06-18
수원시,하동,1452,92,1359,1,742,562,148,59,1064,1.36,2,2021-06-18
수원시,호매실동,1831,158,1672,1,1062,538,231,63,1415,1.29,3,2021-06-18
수원시,화서동,2752,221,2508,23,1774,671,307,67,2158,1.27,4,2021-06-18
시흥시,거모동,1673,131,1541,1,1115,408,150,62,1239,1.35,,2021-06-25
시흥시,계수동,103,5,98,0,71,15,17,26,64,1.61,,2021-06-25
시흥시,과림동,104,19,85,0,34,41,29,23,52,2,,2021-06-25
시흥시,광석동,22,3,19,0,14,5,3,12,14,1.57,,2021-06-25
시흥시,군자동,85,23,62,0,48,14,23,27,50,1.7,,2021-06-25
시흥시,금이동,38,7,31,0,22,10,6,16,18,2.11,,2021-06-25
시흥시,논곡동,255,14,241,0,154,86,15,35,198,1.29,,2021-06-25
시흥시,능곡동,1130,132,998,0,737,243,150,53,868,1.3,,2021-06-25
시흥시,대야동,2336,99,2237,0,1723,427,186,70,1733,1.35,,2021-06-25
시흥시,도창동,208,14,194,0,145,43,20,30,153,1.36,,2021-06-25
시흥시,매화동,631,53,578,0,385,171,75,51,440,1.43,,2021-06-25
시흥시,목감동,213,8,205,0,125,71,17,32,166,1.28,,2021-06-25
시흥시,무지내동,49,24,25,0,14,9,26,12,21,2.33,,2021-06-25
시흥시,물왕동,16,1,15,0,13,2,1,9,13,1.23,,2021-06-25
시흥시,미산동,350,16,334,0,243,83,24,37,240,1.46,,2021-06-25
시흥시,방산동,64,7,57,0,46,11,7,19,38,1.68,,2021-06-25
시흥시,산현동,340,19,319,2,187,101,52,39,256,1.33,,2021-06-25
시흥시,신천동,2970,126,2842,2,2138,571,261,72,2254,1.32,,2021-06-25
시흥시,안현동,65,19,46,0,30,8,27,13,29,2.24,,2021-06-25
시흥시,월곶동,1068,115,953,0,674,209,185,57,784,1.36,,2021-06-25
시흥시,은행동,2641,114,2527,0,1708,593,340,68,2084,1.27,,2021-06-25
시흥시,장곡동,968,105,863,0,569,264,135,48,774,1.25,,2021-06-25
시흥시,장현동,430,47,383,0,249,114,67,36,320,1.34,,2021-06-25
시흥시,정왕동,11923,714,11204,5,8369,2543,1011,107,9036,1.32,,2021-06-25
시흥시,조남동,1127,77,1050,0,646,327,154,59,870,1.3,,2021-06-25
시흥시,죽율동,292,37,255,0,179,75,38,31,204,1.43,,2021-06-25
시흥시,포동,388,32,356,0,242,94,52,37,291,1.33,,2021-06-25
시흥시,하상동,499,65,434,0,333,105,61,36,390,1.28,,2021-06-25
시흥시,하중동,539,70,467,2,339,124,76,45,389,1.39,,2021-06-25
시흥시,화정동,12,1,11,0,11,1,0,8,6,2,,2021-06-25
안산시,건건동,736,160,574,2,393,206,137,47,550,1.34,,2021-08-26
안산시,고잔동,5802,1033,4768,1,3177,1635,990,92,4540,1.28,,2021-08-26
안산시,대부남동,153,65,88,0,55,37,61,33,88,1.74,,2021-08-26
안산시,대부동동,151,36,115,0,69,44,38,29,86,1.76,,2021-08-26
안산시,대부북동,202,41,161,0,105,52,45,31,121,1.67,,2021-08-26
안산시,목내동,7,2,5,0,3,2,2,5,5,1.4,,2021-08-26
안산시,본오동,5699,1096,4596,7,2862,1626,1211,96,4172,1.37,,2021-08-26
안산시,부곡동,2385,594,1789,2,1208,677,500,78,1704,1.4,,2021-08-26
안산시,사동,5766,1321,4445,0,2793,1672,1301,102,4376,1.32,,2021-08-26
안산시,사사동,145,46,99,0,66,40,39,23,100,1.45,,2021-08-26
안산시,선감동,33,6,27,0,11,10,12,14,18,1.83,,2021-08-26
안산시,선부동,4180,720,3460,0,2422,1145,613,81,3196,1.31,,2021-08-26
안산시,성곡동,36,0,36,0,27,8,1,15,19,1.89,,2021-08-26
안산시,성포동,1527,314,1210,3,869,414,244,63,1211,1.26,,2021-08-26
안산시,수암동,382,74,308,0,203,104,75,41,287,1.33,,2021-08-26
안산시,신길동,1313,243,1069,1,759,358,196,66,992,1.32,,2021-08-26
안산시,양상동,40,7,33,0,20,13,7,17,25,1.6,,2021-08-26
안산시,와동,3331,544,2787,0,2012,771,548,82,2384,1.4,,2021-08-26
안산시,원곡동,1816,233,1583,0,1259,351,206,72,1458,1.24,,2021-08-26
안산시,원시동,27,8,19,0,11,6,10,13,17,1.59,,2021-08-26
안산시,월피동,2293,496,1797,0,1213,656,424,66,1730,1.33,,2021-08-26
안산시,이동,1545,333,1212,0,830,418,297,65,1138,1.36,,2021-08-26
안산시,일동,2182,464,1718,0,1089,673,420,76,1602,1.36,,2021-08-26
안산시,장상동,232,57,175,0,113,69,50,34,151,1.52,,2021-08-26
안산시,장하동,21,6,15,0,9,8,4,9,10,2.1,,2021-08-26
안산시,초지동,2644,440,2200,4,1466,605,573,66,2054,1.29,,2021-08-26
안산시,팔곡이동,260,60,200,0,132,67,61,36,172,1.51,,2021-08-26
안산시,팔곡일동,144,46,98,0,70,30,44,30,90,1.6,,2021-08-26
안산시,풍도동,2,2,0,0,0,0,2,1,1,2,,2021-08-26
안산시,합계,43079,8450,34609,20,23260,11704,8115,154,32317,1.33,,2021-08-26
안산시,화정동,25,3,22,0,14,7,4,14,20,1.25,,2021-08-26
안성시,가사동,67,9,58,0,43,14,10,18,54,1.24,,2021-09-06
안성시,가현동,57,8,49,0,35,10,12,15,23,2.48,,2021-09-06
안성시,계동,22,2,20,0,10,6,6,10,16,1.38,,2021-09-06
안성시,고삼면,170,47,123,0,56,55,59,26,87,1.95,,2021-09-06
안성시,공도읍,2737,214,2522,1,1297,1015,425,84,2030,1.35,3,2021-09-06
안성시,구포동,27,7,20,0,11,8,8,11,22,1.23,,2021-09-06
안성시,금광면,425,57,368,0,206,113,106,49,279,1.52,,2021-09-06
안성시,금산동,207,12,195,0,106,59,42,31,168,1.23,,2021-09-06
안성시,금석동,72,4,68,0,44,15,13,20,55,1.31,,2021-09-06
안성시,낙원동,67,1,66,0,27,30,10,17,56,1.2,,2021-09-06
안성시,당왕동,506,44,462,0,251,163,92,36,400,1.27,,2021-09-06
안성시,대덕면,817,88,724,5,391,263,163,66,577,1.42,1,2021-09-06
안성시,대천동,28,1,27,0,17,7,4,13,21,1.33,,2021-09-06
안성시,도기동,107,7,100,0,48,15,44,26,65,1.65,,2021-09-06
안성시,동본동,17,1,16,0,7,8,2,9,15,1.13,,2021-09-06
안성시,명륜동,49,3,46,0,21,14,14,14,34,1.44,,2021-09-06
