,park,beauty,cafe,deliver,equip,food,hospital,manage,pharmacy,play,restaurant,sell,cluster
342,0.27960116327378487,-0.7297060114085125,-1.0,-1.0,0.20265521280749704,-0.18106886466365324,-1.0,-0.06751438086587956,-0.7762278407439698,0.4687649022412972,1.768954150434522,0.11790936430571394,0
343,0.27960116327378487,-0.7297060114085125,-1.0,-1.0,0.20265521280749704,0.6378622706726935,-1.0,-0.06751438086587956,-0.7762278407439698,0.4687649022412972,1.768954150434522,0.11790936430571394,0
392,0.27960116327378487,-1.0,-1.0,-1.0,0.20265521280749704,-1.0,-1.0,-1.0,-1.0,0.4687649022412972,1.768954150434522,-0.36119464896816345,0
393,0.27960116327378487,-1.0,-1.0,-1.0,0.20265521280749704,-1.0,-1.0,-1.0,-1.0,0.4687649022412972,1.768954150434522,-0.36119464896816345,0
394,0.27960116327378487,-0.7297060114085125,-1.0,-1.0,0.20265521280749704,-1.0,-1.0,-0.06751438086587956,-1.0,0.4687649022412972,1.768954150434522,-0.041791973452245196,0
395,0.27960116327378487,-0.7297060114085125,-1.0,-1.0,0.20265521280749704,-1.0,-1.0,-0.06751438086587956,-1.0,0.4687649022412972,1.768954150434522,-0.041791973452245196,0
396,0.27960116327378487,-0.7297060114085125,-1.0,-1.0,0.20265521280749704,-1.0,-1.0,-0.06751438086587956,-1.0,0.4687649022412972,1.768954150434522,0.11790936430571394,0
397,0.27960116327378487,-0.7297060114085125,-1.0,-1.0,0.20265521280749704,-0.18106886466365324,-1.0,-0.06751438086587956,-1.0,0.4687649022412972,1.768954150434522,0.11790936430571394,0
398,0.27960116327378487,-0.7297060114085125,-1.0,-1.0,0.20265521280749704,-0.18106886466365324,-1.0,-0.06751438086587956,-0.7762278407439698,0.4687649022412972,1.768954150434522,0.11790936430571394,0
399,0.27960116327378487,-0.7297060114085125,-1.0,-1.0,0.20265521280749704,-0.18106886466365324,-1.0,-0.06751438086587956,-0.7762278407439698,0.4687649022412972,1.768954150434522,0.11790936430571394,0
400,-0.14693255781747677,-0.7297060114085125,-1.0,-1.0,0.8039828192112456,-0.18106886466365324,-1.0,-0.06751438086587956,-0.5524556814879396,0.4687649022412972,1.768954150434522,0.11790936430571394,0
401,-0.14693255781747677,-0.7297060114085125,-1.0,-1.0,0.8039828192112456,-0.18106886466365324,-1.0,-0.06751438086587956,-0.5524556814879396,0.4687649022412972,1.768954150434522,-0.20149331121020433,0
402,-0.14693255781747677,-0.7297060114085125,-1.0,-1.0,0.20265521280749704,0.6378622706726935,-1.0,-0.06751438086587956,-0.5524556814879396,0.4687649022412972,1.768954150434522,-0.20149331121020433,0
448,0.27960116327378487,-1.0,-1.0,-1.0,0.20265521280749704,-1.0,-1.0,-1.0,-1.0,0.4687649022412972,1.768954150434522,-0.36119464896816345,0
449,0.27960116327378487,-1.0,-1.0,-1.0,0.20265521280749704,-1.0,-1.0,-1.0,-1.0,0.4687649022412972,1.768954150434522,-0.36119464896816345,0
450,0.27960116327378487,-0.7297060114085125,-1.0,-1.0,0.20265521280749704,-1.0,-1.0,-0.06751438086587956,-1.0,0.4687649022412972,1.768954150434522,-0.041791973452245196,0
451,0.27960116327378487,-0.7297060114085125,-1.0,-1.0,0.20265521280749704,-1.0,-1.0,-0.06751438086587956,-1.0,0.4687649022412972,1.768954150434522,-0.041791973452245196,0
452,0.27960116327378487,-0.7297060114085125,-1.0,-1.0,0.20265521280749704,-1.0,-1.0,-0.06751438086587956,-1.0,0.4687649022412972,1.768954150434522,-0.041791973452245196,0
453,0.27960116327378487,-0.7297060114085125,-1.0,-1.0,0.20265521280749704,-1.0,-1.0,-0.06751438086587956,-1.0,0.4687649022412972,1.768954150434522,0.11790936430571394,0
454,-0.14693255781747677,-0.7297060114085125,-1.0,-1.0,0.20265521280749704,-1.0,-1.0,-0.06751438086587956,-0.7762278407439698,0.4687649022412972,1.768954150434522,0.11790936430571394,0
455,-0.14693255781747677,-0.7297060114085125,-1.0,-1.0,0.20265521280749704,-1.0,-1.0,-0.06751438086587956,-0.7762278407439698,0.4687649022412972,1.768954150434522,0.11790936430571394,0
456,-0.14693255781747677,-0.7297060114085125,-1.0,-1.0,-0.39867239359625145,-0.18106886466365324,-1.0,-0.06751438086587956,-0.7762278407439698,0.4687649022412972,1.768954150434522,-0.20149331121020433,0
457,0.27960116327378487,-0.7297060114085125,-1.0,-1.0,0.20265521280749704,-0.18106886466365324,-1.0,-0.06751438086587956,-0.5524556814879396,0.4687649022412972,1.768954150434522,-0.20149331121020433,0
458,0.27960116327378487,-0.7297060114085125,-1.0,-1.0,0.20265521280749704,-0.18106886466365324,-1.0,-0.06751438086587956,-0.5524556814879396,0.4687649022412972,1.768954150434522,-0.20149331121020433,0
459,0.27960116327378487,-0.45941202281702503,-1.0,-1.0,0.20265521280749704,-0.18106886466365324,-0.6146628299762291,0.8649712382682408,-0.5524556814879396,0.4687649022412972,1.768954150434522,-0.5208959867261226,0
460,0.27960116327378487,-0.45941202281702503,-1.0,-1.0,0.20265521280749704,-0.18106886466365324,-0.6146628299762291,0.8649712382682408,-0.5524556814879396,0.4687649022412972,1.768954150434522,-0.20149331121020433,0
461,0.27960116327378487,-0.45941202281702503,-1.0,-1.0,-0.39867239359625145,-0.18106886466365324,-0.6146628299762291,0.8649712382682408,-0.5524556814879396,0.4687649022412972,1.768954150434522,-0.20149331121020433,0
462,0.7061348843650465,-0.45941202281702503,-1.0,-1.0,-0.39867239359625145,-0.18106886466365324,-0.6146628299762291,0.8649712382682408,-0.5524556814879396,0.4687649022412972,1.768954150434522,-0.20149331121020433,0
463,0.7061348843650465,-0.45941202281702503,-1.0,-1.0,-0.39867239359625145,-0.18106886466365324,-0.22932565995245835,0.8649712382682408,-0.5524556814879396,0.4687649022412972,1.768954150434522,0.11790936430571394,0
464,0.7061348843650465,-0.45941202281702503,-1.0,-1.0,-0.39867239359625145,-0.18106886466365324,-0.22932565995245835,0.8649712382682408,-0.5524556814879396,0.4687649022412972,1.768954150434522,0.11790936430571394,0
465,0.7061348843650465,-0.45941202281702503,-1.0,-1.0,-0.39867239359625145,-0.18106886466365324,-0.22932565995245835,0.8649712382682408,-0.5524556814879396,0.4687649022412972,1.768954150434522,0.11790936430571394,0
466,0.7061348843650465,-0.45941202281702503,-1.0,-1.0,-0.39867239359625145,-1.0,-0.22932565995245835,0.8649712382682408,-0.5524556814879396,0.4687649022412972,1.768954150434522,0.11790936430571394,0
467,0.7061348843650465,-0.18911803422553755,-1.0,-1.0,-0.39867239359625145,-1.0,-0.22932565995245835,1.7974568574023613,-0.5524556814879396,0.4687649022412972,1.768954150434522,0.11790936430571394,0
468,0.7061348843650465,-0.18911803422553755,-1.0,-1.0,-0.39867239359625145,-1.0,-0.22932565995245835,1.7974568574023613,-0.5524556814879396,0.4687649022412972,0.8459694336230147,0.11790936430571394,0
469,0.7061348843650465,-0.18911803422553755,-1.0,-1.0,-0.39867239359625145,-1.0,-0.22932565995245835,1.7974568574023613,-0.5524556814879396,0.4687649022412972,0.8459694336230147,0.11790936430571394,0
504,0.27960116327378487,-1.0,-1.0,-1.0,-0.39867239359625145,-1.0,-1.0,-1.0,-1.0,0.4687649022412972,1.768954150434522,-0.36119464896816345,0
505,0.27960116327378487,-0.7297060114085125,-1.0,-1.0,-0.39867239359625145,-1.0,-1.0,-0.06751438086587956,-1.0,0.4687649022412972,1.768954150434522,-0.041791973452245196,0
506,0.27960116327378487,-0.7297060114085125,-1.0,-1.0,-0.39867239359625145,-1.0,-1.0,-0.06751438086587956,-1.0,0.4687649022412972,1.768954150434522,-0.041791973452245196,0
507,0.27960116327378487,-0.7297060114085125,-1.0,-1.0,-0.39867239359625145,-1.0,-1.0,-0.06751438086587956,-1.0,0.4687649022412972,1.768954150434522,-0.041791973452245196,0
508,0.27960116327378487,-0.7297060114085125,-1.0,-1.0,-0.39867239359625145,-1.0,-1.0,-0.06751438086587956,-1.0,0.4687649022412972,1.768954150434522,-0.041791973452245196,0
509,-0.14693255781747677,-0.7297060114085125,-1.0,-1.0,-0.39867239359625145,-1.0,-1.0,-0.06751438086587956,-1.0,0.4687649022412972,1.768954150434522,-0.041791973452245196,0
510,-0.14693255781747677,-0.7297060114085125,-1.0,-1.0,-0.39867239359625145,-1.0,-1.0,-0.06751438086587956,-1.0,0.4687649022412972,1.768954150434522,-0.36119464896816345,0
511,-0.14693255781747677,-0.7297060114085125,-1.0,-1.0,-0.39867239359625145,-1.0,-1.0,-0.06751438086587956,-0.7762278407439698,0.4687649022412972,1.768954150434522,-0.36119464896816345,0
