,park,beauty,cafe,deliver,equip,food,hospital,manage,pharmacy,play,restaurant,sell,cluster,lat,lng
951,0.3,0.1842105263157895,0.0,0.14285714285714285,0.32,0.0,0.4347826086956522,0.043478260869565216,0.13333333333333333,0.0,0.0,0.06976744186046512,19,37.553239,127.174507
952,0.2,0.15789473684210525,0.0,0.14285714285714285,0.36,0.0,0.3478260869565218,0.0,0.11111111111111112,0.0,0.0,0.046511627906976744,19,37.553239,127.179507
953,0.1,0.10526315789473685,0.0909090909090909,0.2857142857142857,0.4,0.0,0.0,0.0,0.04444444444444445,0.0,0.0,0.011627906976744179,11,37.553239,127.184507
954,0.0,0.1842105263157895,0.0909090909090909,0.14285714285714285,0.44000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,37.553239,127.189507
955,0.0,0.15789473684210525,0.0909090909090909,0.14285714285714285,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,37.553239,127.194507
956,0.0,0.13157894736842107,0.0,0.14285714285714285,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,37.553239,127.199507
957,0.0,0.10526315789473685,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,37.553239,127.204507
958,0.0,0.07894736842105264,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,37.553239,127.209507
959,0.0,0.10526315789473685,0.0,0.14285714285714285,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,37.553239,127.214507
960,0.0,0.05263157894736842,0.0,0.0,0.03999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,37.553239,127.219507
961,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,37.553239,127.224507
962,0.5,0.2105263157894737,0.18181818181818177,0.14285714285714285,0.28,0.08064516129032259,0.1739130434782609,0.17391304347826086,0.24444444444444444,0.33333333333333337,0.0,0.26744186046511625,10,37.558239,126.859507
963,0.5,0.2105263157894737,0.0909090909090909,0.14285714285714285,0.32,0.08064516129032259,0.26086956521739135,0.2608695652173913,0.24444444444444444,0.0,0.0,0.2209302325581395,19,37.558239,126.864507
964,0.5,0.1842105263157895,0.0,0.14285714285714285,0.16,0.04838709677419355,0.1739130434782609,0.21739130434782608,0.17777777777777778,0.0,0.0,0.12790697674418605,2,37.558239,126.869507
965,0.4,0.07894736842105264,0.0,0.0,0.08,0.0,0.13043478260869568,0.13043478260869565,0.08888888888888889,0.33333333333333337,0.0,0.10465116279069767,16,37.558239,126.874507
966,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222227,0.33333333333333337,0.02702702702702703,0.0,16,37.558239,126.879507
967,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.13513513513513514,0.0,16,37.558239,126.884507
968,0.5,0.05263157894736842,0.0,0.0,0.12,0.016129032258064516,0.0,0.0,0.022222222222222227,0.33333333333333337,0.16216216216216217,0.046511627906976744,16,37.558239,126.889507
