,park,beauty,equip,food,hospital,manage,pharmacy,sell,dbscan_cluster
258,5,2,2,3,3,2,4,5,3
259,5,2,2,3,3,2,4,5,3
260,5,3,2,3,3,2,4,5,3
261,5,3,2,3,3,2,3,5,3
262,5,3,2,3,3,2,4,5,3
263,5,2,1,3,3,1,3,5,-1
264,5,2,1,3,3,1,4,5,3
265,5,1,1,3,1,0,5,1,-1
266,5,1,1,3,1,0,5,1,-1
267,5,1,1,3,1,0,5,1,-1
268,5,1,1,3,1,0,4,1,-1
269,5,2,1,2,1,0,4,2,-1
270,4,3,1,2,2,0,3,3,-1
271,4,3,1,2,2,0,2,3,-1
272,4,3,3,2,2,0,2,3,-1
273,4,3,3,2,2,0,2,3,-1
274,4,4,3,2,2,0,3,4,-1
275,4,4,3,1,2,0,3,4,-1
276,4,5,3,1,2,1,3,6,-1
277,4,5,3,1,2,1,3,6,-1
278,4,5,3,1,2,1,3,6,-1
279,4,5,2,1,2,1,3,6,-1
280,3,0,2,0,0,0,0,4,1
281,3,0,2,0,0,0,0,5,1
282,3,0,2,1,0,0,0,5,1
283,3,0,2,1,0,0,0,5,1
284,3,1,2,1,0,1,0,7,-1
285,3,1,2,2,0,1,1,7,-1
286,3,1,2,2,0,1,1,7,-1
287,3,1,2,2,0,1,1,7,-1
288,4,1,3,2,0,1,2,7,-1
289,4,1,3,2,0,1,2,7,-1
290,3,2,3,2,1,2,2,9,-1
291,3,2,3,2,1,2,2,7,-1
292,3,2,3,2,2,2,2,7,-1
293,3,2,3,2,2,2,2,7,-1
294,4,3,4,2,2,3,2,7,2
295,4,3,4,2,2,3,2,7,2
296,4,3,3,2,2,3,2,7,2
297,4,3,3,2,2,3,2,7,2
298,4,3,3,3,2,3,2,7,2
299,4,3,3,3,2,3,2,7,2
300,4,3,3,4,2,3,2,7,2
301,4,3,3,4,2,3,2,7,2
302,4,3,3,4,2,3,2,7,2
303,4,3,3,4,2,3,2,7,2
304,5,3,3,3,2,3,3,7,2
305,5,3,4,2,2,3,3,7,2
306,5,3,4,2,2,3,3,6,2
307,5,3,4,2,2,3,3,6,2
308,4,3,4,2,2,3,3,7,2
309,4,3,3,2,2,3,3,7,2
310,4,2,3,2,2,2,3,5,-1
311,5,2,2,2,2,2,3,5,-1
312,5,2,2,3,3,2,3,5,3
313,5,2,2,3,3,2,3,5,3
314,5,2,2,3,3,2,3,5,3
315,5,3,2,3,3,2,4,5,3
316,5,3,2,3,3,2,6,5,-1
317,5,3,2,3,3,2,6,5,-1
318,5,2,2,3,3,1,6,5,-1
319,5,2,1,3,3,1,7,5,-1
320,5,2,1,4,2,1,7,3,-1
321,5,1,1,4,1,0,7,1,-1
322,5,1,1,4,1,0,7,1,-1
323,5,1,1,4,1,0,7,1,-1
324,4,2,1,3,1,0,7,1,-1
325,4,3,3,3,2,0,7,3,-1
326,4,3,3,3,2,0,6,3,-1
327,4,3,3,3,2,0,6,3,-1
328,4,3,3,3,2,0,6,3,-1
329,4,4,3,3,2,0,4,4,-1
330,4,4,3,3,2,0,3,4,-1
331,4,5,3,1,2,1,3,6,-1
332,4,5,3,1,2,1,3,6,-1
333,4,5,3,1,2,1,3,6,-1
334,4,5,3,1,2,1,3,6,-1
335,4,5,2,1,2,1,3,6,-1
336,3,0,2,0,0,0,0,4,1
337,3,0,2,0,0,0,0,4,1
338,3,0,2,0,0,0,0,5,1
339,3,1,2,1,0,1,0,7,-1
340,3,1,2,1,0,1,0,7,-1
341,3,1,2,1,0,1,0,7,-1
342,3,1,2,1,0,1,1,7,-1
343,3,1,2,2,0,1,1,7,-1
344,3,1,3,2,0,1,2,7,-1
345,2,1,3,2,0,1,2,7,-1
346,3,2,3,2,1,2,2,7,-1
347,3,2,3,2,1,2,2,7,-1
348,4,2,2,2,1,2,2,5,-1
349,4,2,2,2,2,2,2,7,2
350,4,2,2,2,2,2,2,7,2
351,4,3,2,2,2,3,2,7,2
352,4,3,2,2,2,3,2,7,2
353,4,3,3,2,2,3,2,7,2
354,4,3,3,2,2,3,2,7,2
355,4,3,3,3,2,3,2,7,2
356,4,3,3,3,2,3,2,7,2
357,4,3,3,4,2,3,2,7,2
358,4,3,3,4,2,3,2,7,2
359,4,3,3,2,2,3,2,7,2
360,4,3,3,2,2,3,2,7,2
361,5,3,3,2,2,3,3,6,2
362,5,3,3,2,2,3,3,6,2
363,5,3,3,2,2,3,3,7,2
364,5,3,3,2,2,3,3,7,2
365,4,3,2,2,2,3,3,7,2
366,4,3,2,2,2,3,3,7,2
367,4,2,2,3,2,2,3,5,-1
368,5,2,2,3,3,2,3,5,3
369,5,2,2,3,3,2,3,5,3
370,5,3,2,3,3,2,5,5,3
371,5,3,2,3,3,2,5,5,3
